name,url,category,is_tamil_sign_language,is_isl,fingerspelling_only,verified_by_this_audit
Tamil Sign Language Video Dataset (Kaggle),https://www.kaggle.com/datasets/s3programmerlead/tamil-sign-language-video-dataset,B_RESEARCH_REFERENCE,claimed_unverified,no,unverified,no
TLFS23 Tamil Fingerspelling Dataset (ScienceDirect),https://www.sciencedirect.com/science/article/pii/S2352340923009927,B_RESEARCH_REFERENCE,claimed_unverified,no,yes,no
Glossia (IEEE DataPort),https://ieee-dataport.org/documents/glossia-0,B_RESEARCH_REFERENCE,claimed_unverified,no,unverified,no
Velogan-Boy Tamil Isolated Sign Language Recognition (GitHub),https://github.com/Velogan-Boy/sign-language-recognition,B_RESEARCH_REFERENCE,claimed_unverified,no,unverified,no
Indian Sign Language words with Landmarks (Kaggle),https://www.kaggle.com/datasets/kaushikyh/indian-sign-language-words-with-landmarks/data,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
Indian Sign Language Hand Landmarks Dataset (Kaggle),https://www.kaggle.com/datasets/eraakash/indian-sign-language-hand-landmarks-dataset,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
Indian Sign Language_Dataset (Mendeley),https://data.mendeley.com/datasets/yx7kdssfjp/1,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
ISLVT sentences (Mendeley),https://data.mendeley.com/datasets/98mzk82wbb/1,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
Exploration-Lab/iSign (Hugging Face),https://huggingface.co/datasets/Exploration-Lab/iSign,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
Indian-Sign-Language-Recognition code (GitHub imRishabhGupta),https://github.com/imRishabhGupta/Indian-Sign-Language-Recognition,C_NOT_SUITABLE_FOR_TAMIL_CLAIM,no,yes,no,no
