sign_id,concept,english,tamil,category,is_emergency,source
HC001,help,Help,உதவி,EMERGENCY,yes,builtin
HC002,emergency,Emergency,அவசரம்,EMERGENCY,yes,builtin
HC003,accident,Accident,விபத்து,EMERGENCY,yes,builtin
HC004,danger,Danger,ஆபத்து,EMERGENCY,no,builtin
HC005,stop,Stop,நிறுத்து,EMERGENCY,no,builtin
HC006,call_someone,Call someone,யாரையாவது கூப்பிடுங்கள்,EMERGENCY,no,builtin
HC007,doctor,Doctor,மருத்துவர்,EMERGENCY,no,builtin
HC008,nurse,Nurse,செவிலியர்,EMERGENCY,no,builtin
HC009,water,Water,தண்ணீர்,BASIC_NEEDS,no,builtin
HC010,food,Food,உணவு,BASIC_NEEDS,no,builtin
HC011,toilet,Toilet,கழிப்பறை,BASIC_NEEDS,no,builtin
HC012,sleep,Sleep,தூக்கம்,BASIC_NEEDS,no,builtin
HC013,sit,Sit,உட்காருங்கள்,BASIC_NEEDS,no,builtin
HC014,stand,Stand,நில்லுங்கள்,BASIC_NEEDS,no,builtin
HC015,wait,Wait,காத்திருங்கள்,BASIC_NEEDS,no,builtin
HC016,come,Come,வாருங்கள்,BASIC_NEEDS,no,builtin
HC017,go,Go,போங்கள்,BASIC_NEEDS,no,builtin
HC018,help_me,Help me,எனக்கு உதவி செய்யுங்கள்,BASIC_NEEDS,no,builtin
HC019,pain,Pain,வலி,SYMPTOMS,no,builtin
HC020,fever,Fever,காய்ச்சல்,SYMPTOMS,no,builtin
HC021,headache,Headache,தலைவலி,SYMPTOMS,no,builtin
HC022,stomach_pain,Stomach pain,வயிற்று வலி,SYMPTOMS,no,builtin
HC023,chest_pain,Chest pain,மார்பு வலி,SYMPTOMS,yes,builtin
HC024,back_pain,Back pain,முதுகு வலி,SYMPTOMS,no,builtin
HC025,dizziness,Dizziness,தலைசுற்றல்,SYMPTOMS,no,builtin
HC026,vomiting,Vomiting,வாந்தி,SYMPTOMS,no,builtin
HC027,nausea,Nausea,குமட்டல்,SYMPTOMS,no,builtin
HC028,cough,Cough,இருமல்,SYMPTOMS,no,builtin
HC029,cold,Cold,சளி,SYMPTOMS,no,builtin
HC030,breathing_difficulty,Breathing difficulty,மூச்சுத் திணறல்,SYMPTOMS,yes,builtin
HC031,bleeding,Bleeding,இரத்தப்போக்கு,SYMPTOMS,yes,builtin
HC032,swelling,Swelling,வீக்கம்,SYMPTOMS,no,builtin
HC033,weakness,Weakness,பலவீனம்,SYMPTOMS,no,builtin
HC034,head,Head,தலை,BODY_PARTS,no,builtin
HC035,eye,Eye,கண்,BODY_PARTS,no,builtin
HC036,ear,Ear,காது,BODY_PARTS,no,builtin
HC037,nose,Nose,மூக்கு,BODY_PARTS,no,builtin
HC038,mouth,Mouth,வாய்,BODY_PARTS,no,builtin
HC039,throat,Throat,தொண்டை,BODY_PARTS,no,builtin
HC040,neck,Neck,கழுத்து,BODY_PARTS,no,builtin
HC041,chest,Chest,மார்பு,BODY_PARTS,no,builtin
HC042,heart,Heart,இதயம்,BODY_PARTS,no,builtin
HC043,stomach,Stomach,வயிறு,BODY_PARTS,no,builtin
HC044,hand,Hand,கை,BODY_PARTS,no,builtin
HC045,arm,Arm,புஜம்,BODY_PARTS,no,builtin
HC046,leg,Leg,கால்,BODY_PARTS,no,builtin
HC047,foot,Foot,பாதம்,BODY_PARTS,no,builtin
HC048,back,Back,முதுகு,BODY_PARTS,no,builtin
HC049,medicine,Medicine,மருந்து,MEDICAL_ACTIONS,no,builtin
HC050,injection,Injection,ஊசி,MEDICAL_ACTIONS,no,builtin
HC051,operation,Operation,அறுவை சிகிச்சை,MEDICAL_ACTIONS,no,builtin
HC052,test,Test,பரிசோதனை,MEDICAL_ACTIONS,no,builtin
HC053,scan,Scan,ஸ்கேன்,MEDICAL_ACTIONS,no,builtin
HC054,blood_test,Blood test,இரத்த பரிசோதனை,MEDICAL_ACTIONS,no,builtin
HC055,xray,X-ray,எக்ஸ்-ரே,MEDICAL_ACTIONS,no,builtin
HC056,treatment,Treatment,சிகிச்சை,MEDICAL_ACTIONS,no,builtin
HC057,check,Check,பரிசோதி,MEDICAL_ACTIONS,no,builtin
HC058,examination,Examination,பரிசோதனை,MEDICAL_ACTIONS,no,builtin
HC059,name,Name,பெயர்,PATIENT_INFO,no,builtin
HC060,age,Age,வயது,PATIENT_INFO,no,builtin
HC061,address,Address,முகவரி,PATIENT_INFO,no,builtin
HC062,phone,Phone,தொலைபேசி,PATIENT_INFO,no,builtin
HC063,family,Family,குடும்பம்,PATIENT_INFO,no,builtin
HC064,mother,Mother,அம்மா,PATIENT_INFO,no,builtin
HC065,father,Father,அப்பா,PATIENT_INFO,no,builtin
HC066,emergency_contact,Emergency contact,அவசர தொடர்பு,PATIENT_INFO,no,builtin
HC067,today,Today,இன்று,TIME_HISTORY,no,builtin
HC068,yesterday,Yesterday,நேற்று,TIME_HISTORY,no,builtin
HC069,tomorrow,Tomorrow,நாளை,TIME_HISTORY,no,builtin
HC070,morning,Morning,காலை,TIME_HISTORY,no,builtin
HC071,night,Night,இரவு,TIME_HISTORY,no,builtin
HC072,before,Before,முன்பு,TIME_HISTORY,no,builtin
HC073,after,After,பின்பு,TIME_HISTORY,no,builtin
HC074,now,Now,இப்போது,TIME_HISTORY,no,builtin
HC075,since,Since,முதல்,TIME_HISTORY,no,builtin
HC076,how_long,How long?,எவ்வளவு காலமாக?,TIME_HISTORY,no,builtin
HC077,tablet,Tablet,மாத்திரை,MEDICATION,no,builtin
HC078,dose,Dose,அளவு,MEDICATION,no,builtin
HC079,before_food,Before food,சாப்பிடுவதற்கு முன்,MEDICATION,no,builtin
HC080,after_food,After food,சாப்பிட்ட பிறகு,MEDICATION,no,builtin
HC081,allergy,Allergy,ஒவ்வாமை,MEDICATION,no,builtin
HC082,yes,Yes,ஆம்,COMMUNICATION,no,builtin
HC083,no,No,இல்லை,COMMUNICATION,no,builtin
HC084,i_understand,I understand,எனக்கு புரிகிறது,COMMUNICATION,no,builtin
HC085,i_dont_understand,I don't understand,எனக்கு புரியவில்லை,COMMUNICATION,no,builtin
HC086,repeat,Repeat,மீண்டும் சொல்லுங்கள்,COMMUNICATION,no,builtin
HC087,slowly,Slowly,மெதுவாக,COMMUNICATION,no,builtin
HC088,please_wait,Please wait,தயவுசெய்து காத்திருங்கள்,COMMUNICATION,no,builtin
HC089,thank_you,Thank you,நன்றி,COMMUNICATION,no,builtin
HC090,sorry,Sorry,மன்னிக்கவும்,COMMUNICATION,no,builtin
EV001,hello,Hello,வணக்கம்,GREETINGS,no,builtin
EV002,goodbye,Goodbye,போய் வருகிறேன்,GREETINGS,no,builtin
EV003,please,Please,தயவுசெய்து,GREETINGS,no,builtin
EV004,ok,OK,சரி,GREETINGS,no,builtin
EV005,i,I,நான்,PEOPLE,no,builtin
EV006,you,You,நீங்கள்,PEOPLE,no,builtin
EV007,friend,Friend,நண்பர்,PEOPLE,no,builtin
EV008,brother,Brother,சகோதரர்,PEOPLE,no,builtin
EV009,sister,Sister,சகோதரி,PEOPLE,no,builtin
EV010,deaf,Deaf,காது கேளாதவர்,PEOPLE,no,builtin
EV011,what,What,என்ன,QUESTIONS,no,builtin
EV012,where,Where,எங்கே,QUESTIONS,no,builtin
EV013,when,When,எப்போது,QUESTIONS,no,builtin
EV014,why,Why,ஏன்,QUESTIONS,no,builtin
EV015,how,How,எப்படி,QUESTIONS,no,builtin
EV016,who,Who,யார்,QUESTIONS,no,builtin
EV017,happy,Happy,மகிழ்ச்சி,FEELINGS,no,builtin
EV018,sad,Sad,வருத்தம்,FEELINGS,no,builtin
EV019,tired,Tired,சோர்வு,FEELINGS,no,builtin
EV020,hungry,Hungry,பசி,FEELINGS,no,builtin
EV021,thirsty,Thirsty,தாகம்,FEELINGS,no,builtin
EV022,angry,Angry,கோபம்,FEELINGS,no,builtin
EV023,scared,Scared,பயம்,FEELINGS,no,builtin
EV024,love,Love,அன்பு,FEELINGS,no,builtin
EV025,eat,Eat,சாப்பிடு,ACTIONS,no,builtin
EV026,drink,Drink,குடி,ACTIONS,no,builtin
EV027,want,Want,வேண்டும்,ACTIONS,no,builtin
EV028,need,Need,தேவை,ACTIONS,no,builtin
EV029,like,Like,பிடிக்கும்,ACTIONS,no,builtin
EV030,finish,Finished,முடிந்தது,ACTIONS,no,builtin
EV031,learn,Learn,கற்றுக்கொள்,ACTIONS,no,builtin
EV032,home,Home,வீடு,PLACES_THINGS,no,builtin
EV033,school,School,பள்ளி,PLACES_THINGS,no,builtin
EV034,work,Work,வேலை,PLACES_THINGS,no,builtin
EV035,bus,Bus,பேருந்து,PLACES_THINGS,no,builtin
EV036,money,Money,பணம்,PLACES_THINGS,no,builtin
EV037,time,Time,நேரம்,PLACES_THINGS,no,builtin
EV038,sign_language,Sign language,சைகை மொழி,PLACES_THINGS,no,builtin
EV039,good,Good,நல்லது,DESCRIBING,no,builtin
EV040,bad,Bad,கெட்டது,DESCRIBING,no,builtin
EV041,more,More,இன்னும்,DESCRIBING,no,builtin
